0,1,2,3,4,5,6
"Middlesbrough
2
–
Portsmouth
0",Unibet,-125,+240,+350,"Saturday, 03 May 2008, 14:00",2:0
"Middlesbrough
2
–
Portsmouth
0",William Hill,+100,+175,+280,"Saturday, 03 May 2008, 14:00",2:0
"Arsenal
2
–
Reading
0",bet-at-home,-400,+400,+1100,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",bet365,-303,+400,+900,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",bwin,-400,+425,+800,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",Interwetten,-400,+380,+850,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",Pinnacle,-312,+418,+1141,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",Unibet,-357,+400,+1000,"Saturday, 19 Apr 2008, 11:45",2:0
"Arsenal
2
–
Reading
0",William Hill,-303,+380,+850,"Saturday, 19 Apr 2008, 11:45",2:0
"Liverpool
3
–
Blackburn
1",bet-at-home,-200,+270,+580,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",bet365,-200,+300,+600,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",bwin,-222,+275,+600,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",Interwetten,-200,+260,+500,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",Pinnacle,-213,+319,+726,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",Unibet,-208,+280,+625,"Sunday, 13 Apr 2008, 12:30",3:1
"Liverpool
3
–
Blackburn
1",William Hill,-200,+280,+650,"Sunday, 13 Apr 2008, 12:30",3:1
"Birmingham
1
–
Everton
1",bet-at-home,+185,+220,+140,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",bet365,+200,+229,+140,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",bwin,+179,+215,+135,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",Interwetten,+165,+210,+145,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",Pinnacle,+210,+229,+147,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",Unibet,+179,+225,+145,"Saturday, 12 Apr 2008, 14:00",1:1
"Birmingham
1
–
Everton
1",William Hill,+200,+220,+137,"Saturday, 12 Apr 2008, 14:00",1:1
"Reading
0
–
Fulham
2",bet-at-home,-105,+225,+280,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",bet365,-110,+240,+333,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",bwin,-118,+225,+300,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",Interwetten,-118,+220,+280,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",Pinnacle,-110,+274,+321,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",Unibet,-118,+225,+334,"Saturday, 12 Apr 2008, 14:00",0:2
"Reading
0
–
Fulham
2",William Hill,-111,+240,+300,"Saturday, 12 Apr 2008, 14:00",0:2
"Tottenham
1
–
Bolton
1",bet-at-home,-118,+229,+320,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",bet365,-137,+275,+400,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",bwin,-133,+240,+320,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",Interwetten,-125,+220,+300,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",Pinnacle,-137,+289,+426,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",Unibet,-143,+240,+425,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Bolton
1",William Hill,-139,+260,+275,"Saturday, 26 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",bet-at-home,-143,+250,+380,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",bet365,-149,+260,+450,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",bwin,-154,+240,+400,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",Interwetten,-133,+229,+320,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",Pinnacle,-137,+296,+424,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",Unibet,-139,+240,+400,"Saturday, 12 Apr 2008, 14:00",1:1
"Tottenham
1
–
Middlesbrough
1",William Hill,-152,+250,+450,"Saturday, 12 Apr 2008, 14:00",1:1
"Sunderland
1
–
Manchester City
2",bet-at-home,+114,+220,+229,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",bet365,+104,+240,+275,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",bwin,+120,+215,+204,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",Interwetten,+120,+210,+200,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",Pinnacle,+110,+240,+282,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",Unibet,+110,+225,+240,"Saturday, 12 Apr 2008, 14:00",1:2
"Sunderland
1
–
Manchester City
2",William Hill,+225,-139,+320,"Saturday, 12 Apr 2008, 14:00",1:2
"Aston Villa
0
–
Wigan
2",bet-at-home,-200,+270,+580,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",bet365,-189,+280,+600,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",bwin,-200,+250,+575,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",Interwetten,-182,+250,+380,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",Pinnacle,-213,+330,+685,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",Unibet,-208,+275,+650,"Saturday, 03 May 2008, 14:00",0:2
"Aston Villa
0
–
Wigan
2",William Hill,-200,+300,+600,"Saturday, 03 May 2008, 14:00",0:2
"Chelsea
2
–
Manchester Utd
1",bet-at-home,+145,+215,+179,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",bet365,+150,+210,+200,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",bwin,+145,+215,+165,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",Interwetten,+129,+200,+190,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",Pinnacle,+145,+209,+235,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",Unibet,+145,+210,+195,"Saturday, 26 Apr 2008, 11:45",2:1
"Chelsea
2
–
Manchester Utd
1",William Hill,+140,+210,+210,"Saturday, 26 Apr 2008, 11:45",2:1
"West Ham
2
–
Derby
1",bet-at-home,-286,+330,+800,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",bet365,-250,+350,+750,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",bwin,-286,+325,+700,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",Interwetten,-250,+300,+550,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",Pinnacle,-222,+336,+785,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",Unibet,-286,+350,+800,"Saturday, 19 Apr 2008, 14:00",2:1
"West Ham
2
–
Derby
1",William Hill,-227,+320,+650,"Saturday, 19 Apr 2008, 14:00",2:1
"Middlesbrough
0
–
Bolton
1",bet-at-home,+104,+225,+250,"Saturday, 19 Apr 2008, 14:00",0:1
"Middlesbrough
0
–
Bolton
1",bet365,+110,+229,+260,"Saturday, 19 Apr 2008, 14:00",0:1
"Middlesbrough
0
–
Bolton
1",bwin,-105,+225,+254,"Saturday, 19 Apr 2008, 14:00",0:1
"Middlesbrough
0
–
Bolton
1",Interwetten,+110,+220,+210,"Saturday, 19 Apr 2008, 14:00",0:1
"Middlesbrough
0
–
Bolton
1",Pinnacle,+106,+235,+304,"Saturday, 19 Apr 2008, 14:00",0:1
"Middlesbrough
0
–
Bolton
1",Unibet,+110,+220,+250,"Saturday, 19 Apr 2008, 14:00",0:1
